Name,count,geo_loc,lat,lon
BTM,4237,"(45.95485055, -112.49659530324134)",45.95485055,-112.49659530324134
Koramangala 5th Block,2358,"(12.9348429, 77.6189768)",12.9348429,77.6189768
HSR,2113,"(18.1475, 41.538889)",18.1475,41.538889
Indiranagar,1892,"(12.9732913, 77.6404672)",12.9732913,77.6404672
JP Nagar,1849,"(12.2655944, 76.6465404)",12.2655944,76.6465404
Jayanagar,1711,"(27.64392675, 83.05280519687284)",27.64392675,83.05280519687284
Whitefield,1688,"(53.5533682, -2.2969019)",53.5533682,-2.2969019
Marathahalli,1488,"(12.9552572, 77.6984163)",12.9552572,77.6984163
Bannerghatta Road,1318,"(12.910648, 77.6001409)",12.910648,77.6001409
Koramangala 6th Block,1103,"(12.9390255, 77.6238477)",12.9390255,77.6238477
Brigade Road,1084,"(12.9750849, 77.6079337)",12.9750849,77.6079337
Koramangala 7th Block,1084,"(12.9364846, 77.6134783)",12.9364846,77.6134783
Bellandur,1078,"(12.93103185, 77.6782471)",12.93103185,77.6782471
Koramangala 1st Block,964,"(12.9277245, 77.6327822)",12.9277245,77.6327822
Electronic City,963,"(15.67509025, 73.81083634836561)",15.67509025,73.81083634836561
Sarjapur Road,913,"(12.920441, 77.6653284)",12.920441,77.6653284
Ulsoor,901,"(12.9778793, 77.6246697)",12.9778793,77.6246697
Koramangala 4th Block,864,"(12.9327778, 77.6294052)",12.9327778,77.6294052
MG Road,818,"(12.9755264, 77.6067902)",12.9755264,77.6067902
Banashankari,805,"(15.8876779, 75.7046777)",15.8876779,75.7046777
Kalyan Nagar,745,"(13.0221416, 77.6403368)",13.0221416,77.6403368
Malleshwaram,657,"(13.0027353, 77.5703253)",13.0027353,77.5703253
Basavanagudi,628,"(12.9417261, 77.5755021)",12.9417261,77.5755021
Richmond Road,626,"(40.5759032, -74.1252963)",40.5759032,-74.1252963
Residency Road,607,"(34.0699187, 74.8052392)",34.0699187,74.8052392
Brookefield,579,"(33.5935063, -79.0345627)",33.5935063,-79.0345627
Frazer Town,574,"(12.9986827, 77.615525)",12.9986827,77.615525
Church Street,550,"(40.7153533, -74.0076212)",40.7153533,-74.0076212
Kammanahalli,522,"(13.0093455, 77.6377094)",13.0093455,77.6377094
New BEL Road,521,"(13.0267404, 77.5717955)",13.0267404,77.5717955
